"","name","value"
"1",0.01,0
"2",0.02,0
"3",0.03,0
"4",0.04,0
"5",0.05,0
"6",0.06,0
"7",0.07,0
"8",0.08,0
"9",0.09,0
"10",0.1,0
"11",0.11,0
"12",0.12,0
"13",0.13,0
"14",0.14,0
"15",0.15,0
"16",0.16,0
"17",0.17,0
"18",0.18,0
"19",0.19,0
"20",0.2,0
"21",0.21,0
"22",0.22,0
"23",0.23,60
"24",0.24,120
"25",0.25,120
"26",0.26,240
"27",0.27,240
"28",0.28,240
"29",0.29,240
"30",0.3,280
"31",0.31,360
"32",0.32,360
"33",0.33,480
"34",0.34,480
"35",0.35,480
"36",0.36,480
"37",0.37,480
"38",0.38,600
"39",0.39,720
"40",0.4,720
"41",0.41,720
"42",0.42,720
"43",0.43,840
"44",0.44,960
"45",0.45,960
"46",0.46,960
"47",0.47,960
"48",0.48,1020
"49",0.49,1080
"50",0.5,1200
"51",0.51,1200
"52",0.52,1320
"53",0.53,1440
"54",0.54,1440
"55",0.55,1440
"56",0.56,1600
"57",0.57,1680
"58",0.58,1680
"59",0.59,1800
"60",0.6,1920
"61",0.61,1920
"62",0.62,1920
"63",0.63,2117.4
"64",0.64,2160
"65",0.65,2400
"66",0.66,2400
"67",0.67,2520
"68",0.68,2640
"69",0.69,2880
"70",0.7,2880
"71",0.71,2940
"72",0.72,3120
"73",0.73,3360
"74",0.74,3360
"75",0.75,3600
"76",0.76,3600
"77",0.77,3840
"78",0.78,3960
"79",0.79,4200
"80",0.8,4320
"81",0.81,4560
"82",0.82,4800
"83",0.83,5040
"84",0.84,5280
"85",0.85,5600
"86",0.86,5760
"87",0.87,6000
"88",0.88,6480
"89",0.89,6720
"90",0.9,7200
"91",0.91,7847.20000000001
"92",0.92,8400
"93",0.93,9120
"94",0.94,10000
"95",0.95,10000
"96",0.96,10000
"97",0.97,10000
"98",0.98,10000
"99",0.99,10000
"100",1,10000
