country_name_heat,iso3,country_mortality_rates,year,std_deathrate,crude_deathrate,deaths,deaths_percent,population,pyll,pyll_percent,age_group,value_heatdata,unit,source,country_heatdata,iso3_heatdata,parameter_description
Albania,ALB,Albania,2004,279.5391,245.6939,4213,100,1714735,3426.1802,100,20-64,279.5391,"Aged-standardized death rate per 100,000 persons",WHO,Albania,ALB,All cause mortality rate in {{if (comparisoncase == 'ref') 'reference' else 'counterfactual'}} case (value for {{country}} and age group {{age_group}})
Albania,ALB,Albania,2004,515.774,503.9117,2979,100,591175,1759.8298,100,45-64,515.774,"Aged-standardized death rate per 100,000 persons",WHO,Albania,ALB,All cause mortality rate in {{if (comparisoncase == 'ref') 'reference' else 'counterfactual'}} case (value for {{country}} and age group {{age_group}})
Albania,ALB,Albania,2004,938.0479,935.8705,7127,100,761537,2383.6835,100,45-74,938.0479,"Aged-standardized death rate per 100,000 persons",WHO,Albania,ALB,All cause mortality rate in {{if (comparisoncase == 'ref') 'reference' else 'counterfactual'}} case (value for {{country}} and age group {{age_group}})
Albania,ALB,Albania,2004,110.7999,109.8295,1234,100,1123560,1666.3504,100,20-44,110.7999,"Aged-standardized death rate per 100,000 persons",WHO,Albania,ALB,All cause mortality rate in {{if (comparisoncase == 'ref') 'reference' else 'counterfactual'}} case (value for {{country}} and age group {{age_group}})
Albania,ALB,Albania,2004,505.9034,443.5316,8361,100,1885097,4050.0339,100,20-74,505.9034,"Aged-standardized death rate per 100,000 persons",WHO,Albania,ALB,All cause mortality rate in {{if (comparisoncase == 'ref') 'reference' else 'counterfactual'}} case (value for {{country}} and age group {{age_group}})
Andorra,AND,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-64,211.4864438567,"Aged-standardized death rate per 100,000 persons",GBD,Andorra,AND,"All cause mortality rate in {{if (comparisoncase == 'ref') 'reference' else 'counterfactual'}} case (no data for Andorra, value for Andorra and age group 20-64)"
Andorra,AND,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-74,622.4630879508,"Aged-standardized death rate per 100,000 persons",GBD,Andorra,AND,"All cause mortality rate in {{if (comparisoncase == 'ref') 'reference' else 'counterfactual'}} case (no data for Andorra, value for Andorra and age group 20-74)"
Andorra,AND,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-44,211.4864438567,"Aged-standardized death rate per 100,000 persons",GBD,Andorra,AND,"All cause mortality rate in {{if (comparisoncase == 'ref') 'reference' else 'counterfactual'}} case (no data for Andorra, value for Andorra and age group 20-44)"
Andorra,AND,NA,NA,NA,NA,NA,NA,NA,NA,NA,45-64,366.1386531196,"Aged-standardized death rate per 100,000 persons",GBD,Andorra,AND,"All cause mortality rate in {{if (comparisoncase == 'ref') 'reference' else 'counterfactual'}} case (no data for Andorra, value for Andorra and age group 45-64)"
Andorra,AND,NA,NA,NA,NA,NA,NA,NA,NA,NA,45-74,66.7382705947,"Aged-standardized death rate per 100,000 persons",GBD,Andorra,AND,"All cause mortality rate in {{if (comparisoncase == 'ref') 'reference' else 'counterfactual'}} case (no data for Andorra, value for Andorra and age group 45-74)"
