"","Andorra","Armenia","Austria","Belarus","Belgium","Bulgaria","Croatia","Cyprus","Denmark","Estonia","Finland","France","Georgia","Germany","Greece","Hungary","Ireland","Italy","Kazakhstan","Kyrgyzstan","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Norway","Poland","Portugal","Moldova","Romania","Russia","Serbia","Slovakia","Slovenia","Spain","Sweden","Switzerland","Tajikistan","Turkey","Ukraine","UK","Uzbekistan"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.1304347826081,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.869565217391,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,114.893617021276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,243.826086956522,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,240,0,0,0,0,0,0,37.5903614457824,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,386.086956521739,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,240.283687943262,0,0,0,0,0,0,120,0,56.3333333333334,0,0,0,0,0,0,256.402877697842,0,0,0,0,0,0,0,0,480,0,120,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,360,0,0,0,0,0,0,240,0,120,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,655.304347826088,0,240,0,0,0,0,0,0,0,0,58.7755102040816,0,93.298429319372
"13",0,0,0,480,0,0,0,0,0,0,244.578313253011,0,240,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,720,0,240,0,0,0,0,0,0,0,0,120,0,172.146596858639
"14",0,74.3362831858401,0,480,0,0,0,0,0,0,360,0,240,0,0,0,0,0,0,498.992805755397,0,0,0,0,0,0,0,0,960,0,311.345029239767,0,0,0,0,45.4545454545457,12.4050632911391,0,0,240,0,240
"15",0,120,0,720,0,0,0,0,0,0,480,0,353.333333333333,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,1009.56521739131,0,418.947368421054,0,0,0,0,120,103.291139240506,0,0,240,0,247.748691099476
"16",0,240,0,720,0,0,0,0,0,0,480,0,469.333333333331,0,0,0,0,0,0,758.848920863311,0,40.5283018867927,0,0,7.05882352941176,0,0,0,1200,0,480,0,0,0,25.970149253731,223.896103896104,148.354430379746,0,0,304.489795918366,0,360
"17",0,240,0,960,0,0,0,0,24.8421052631578,0,571.807228915662,0,480,0,0,0,0,0,71.5636363636368,960,0,120,29.3661971830995,0,86.2500000000001,0,0,0,1440,0,480,0,0,0,106.343283582089,240,240,0,0,376.530612244896,0,474.345549738219
"18",0,263.716814159291,28.1063122923586,960,0,0,0,0,100.421052631579,0,720,63.2764505119452,480,0,0,0,0,0,120,989.352517985613,54.3050847457626,166.188679245284,105.211267605635,0,120,0,0,0,1680,0,694.736842105266,0,0,0,133.432835820894,240,240,63.2764505119452,7.05882352941147,480,0,480
"19",0,360,99.6677740863784,1125.10638297872,0,0,55.9485530546622,0,120,18.9375,730.843373493976,120,707.33333333333,0,0,0,0,0,216.436363636365,1200,120,240,122.11267605634,0,240,31.0410094637223,0,0,1920,0,720,0,0,10.9937888198754,240,322.251082251082,271.223628691983,120,77.4509803921564,480,0,480
"20",0,452.389380530971,120,1310.63829787234,0,0,120,0,240,86.2500000000001,960,180.614334470989,720,0,0,0,57.4311926605501,0,240,1398.56115107914,160.677966101694,240,240,0,240,98.9905362776025,65.5384615384615,0,2135.92173913044,0,838.596491228073,0,0,77.8881987577636,240,369.870129870129,360,180.614334470989,120,555.918367346935,0,670.994764397904
"21",0,480,240,1440,7.05882352941164,0,148.938906752411,0,240,120,960,240,825.999999999995,0,0,0,120,0,240,1477.9856115108,240,257.962264150944,240,0,240,120,120,0,2466.78260869566,17.7966101694913,960,0,36.1031518624642,120,245.223880597014,480,457.215189873417,240,196.470588235293,720,0,720
"22",0,480,240,1680,67.394957983193,0,240,0,240,201.75,1054.69879518072,240,960,0,0,0,138.34862385321,0,268.8,1680,240,344.301886792454,240,0,282.941176470588,229.779179810725,156.184615384615,0,2880,78.6440677966098,971.22807017544,0,97.8223495702005,183.35403726708,317.611940298506,480,480,240,240,720,59.9999999999997,762.094240837693
"23",30.1562500000001,544.247787610617,240,1867.23404255319,120,23.4715025906732,240,0,278.877192982456,240,1200,247.235494880546,960,0,54.1114058355444,26.8051948051955,240,0,360,1920,240,379.018867924531,285.915492957749,0,360,240,240,0,3312.00000000001,120,1114.38596491228,0,120,240,360,480,480,247.235494880546,240,855.306122448974,120,960
"24",86.2500000000002,720,264.983388704319,1940.99999999999,136.134453781512,79.2746113989633,240,0,360,240,1428.43373493976,312.491467576791,1072,0,111.246684350133,82.7532467532476,240,0,399.709090909093,2114.55971223022,296.542372881355,480,360,0,441.176470588236,240,240,0,3600,160.677966101694,1246.31578947369,48.7594936708865,202.521489971347,240,480,635.844155844154,522.53164556962,312.491467576791,246.274509803921,960,120,960
"25",120,720,345.382059800664,2316.59574468084,240,120,274.340836012861,0,418.947368421052,241.875,1450.60240963856,360,1200,16.0663507109007,120,120,240,40.7246376811598,480,2400,360,480,432.253521126764,31.3669064748193,480,252.492113564669,240,0,4205.21739130436,240,1440,103.291139240507,240,240,480,720,704.303797468354,360,306.405228758169,960,239.999999999999,1019.37172774869
"26",156.875,756.106194690263,361.196013289036,2543.82978723404,240,141.761658031087,360,1.35135135135085,480,293.5,1680,462.798634812286,1422.66666666666,67.1090047393367,211.034482758622,149.298701298703,261.77370030581,92.7536231884062,480,2676.25899280576,436.881355932202,480,480,83.0215827338121,480,315.583596214511,268.8,30.4147465437785,4839.65217391306,240,1533.56725146199,120,240,279.503105590062,480,720,720,462.798634812286,360,1057.34693877551,240,1184.29319371727
"27",240,946.725663716812,480,2880,240,240,380.064308681671,49.8648648648645,480,360,1846.98795180723,480,1440,118.151658767773,240,240,331.37614678899,120,480,2924.02877697842,480,549.283018867928,480,120,480,360,345.969230769231,80.0460829493086,5645.91304347827,240,1680,184.708860759494,240,360,500.149253731341,835.324675324672,720,480,441.176470588234,1200,240,1289.84293193717
"28",240,960,480,3189.78723404255,246.274509803921,240,480,98.3783783783781,480,409.5,1920,480,1667.55555555555,120,240,240,360,153.623188405798,546.327272727275,3360,480,711.849056603778,480,132.661870503595,594.705882352941,445.173501577287,360,120,6578.08695652176,255.819209039548,1894.0350877193,240,272.091690544413,386.086956521739,660.895522388058,960,889.620253164557,480,480,1354.28571428571,240,1440
"29",240,963.982300884956,480,3560.85106382978,292.997198879552,240,480,120,543.578947368421,480,2147.93855421687,480,1780.66666666666,200.47393364929,240,240,460.550458715595,240,702.981818181821,3600,480,720,559.014084507048,235.971223021581,720,480,480,120,8140.42434782614,312.768361581921,1920,240,346.475644699141,480,720,960,960,480,480,1440,280,1521.25654450262
"30",241.875,1059.29203539823,480,3885.95744680851,360,240,480,150.81081081081,694.736842105263,480,2400,570.921501706485,1920,240,262.705570291778,240,480,240,720,4075.6834532374,541.01694915254,720,710.704225352118,240,720,480,480,217.880184331797,10000,360,2159.25263157895,240,360,480,720,997.402597402595,960,570.921501706485,480,1591.83673469387,359.999999999999,1680
"31",279.270833333333,1200,596.810631229235,4311.48936170212,380.840336134454,273.264248704663,480,240,720,480,2650.12048192772,717.952218430035,2083.40333333331,240,321.591511936341,276.25974025974,480,240,720,4575.53956834531,687.050847457625,839.547169811325,720,240,720,480,480,240,10000,412.542372881356,2409.8245614035,246.987341772152,466.590257879656,480,783.134328358207,1101.2987012987,1017.46835443038,717.952218430035,524.313725490196,1680,360,1832.04188481675
"32",353.333333333333,1299.82300884956,720,4914.04255319148,480,340.932642487047,592.668810289387,240,720,480,2892.28915662651,720,2357.33333333331,240,360,347.116883116883,480,240,812.945454545457,5195.39568345322,720,960,720,240,868.235294117647,508.769716088328,480,240,10000,480,2683.50877192981,286.683544303797,480,480,943.880597014924,1200,1136.70886075949,720,665.098039215687,1873.46938775509,479.999999999999,1920
"33",360,1440,720,5603.40425531914,480,360,720,240,788.210526315789,602.625,3208.19277108435,720,2497.99999999999,242.938388625593,410.928381962867,360,507.522935779815,264.63768115942,960,5815.25179856113,720,960,805.77464788733,256.402877697841,960,644.668769716088,534.276923076926,240,10000,480,2896.84210526316,359.39240506329,480,575.031055900623,960,1354.28571428571,1200,720,720,1920,480,2118.51518324607
"34",454.375,1441.41592920354,720,6272.34042553189,480,434.611398963732,720,240,939.368421052631,720,3487.22891566266,799.044368600686,2834.66666666664,276.96682464455,480,444.467532467533,639.26605504587,318.647342995169,960,6675.10791366904,765.152542372879,963.622641509437,957.464788732401,301.678657074339,960,720,666.830769230773,244.976958525346,10000,480,3211.22807017542,360,480,708.819875776399,960,1440,1380.25316455696,799.044368600686,720,2129.13673469387,480,2377.38219895289
"35",480,1647.78761061947,809.302325581394,7273.44113475175,480,480,720,251.981981981982,960,720,3766.26506024098,946.075085324236,2928.33333333333,341.990521327015,480,480,720,360,960,8065.93381294958,911.186440677963,1044.90566037736,960,360,971.691176470589,720,720,278.064516129033,10000,480,3475.08771929823,457.215189873416,480.343839541547,720,1013.05970149254,1503.0303030303,1440,946.075085324236,727.450980392159,2400,480,2494.24083769634
"36",480,1702.30088495576,952.425249169434,8874.89361702125,504.201680672271,480,786.75241157556,288.648648648649,960,720,4165.30120481929,960,3311.99999999997,360,480,480,720,386.086956521739,1019.78181818182,9981.00719424449,960,1172.37735849057,960,360,1050.88235294118,720,720,342.304147465439,10000,541.016949152545,3738.94736842104,480,603.78223495702,720,1106.86567164179,1675.84415584415,1525.06329113924,960,868.23529411765,2512.65306122448,480,2799.58115183247
"37",480,1892.92035398231,960,10000,624.873949579834,480,925.273311897103,353.333333333333,996.421052631579,781.125,4564.3373493976,960,3550.66666666664,417.156398104266,480,480,720,480,1116.21818181818,10000,960,1214.94339622642,1006.26760563381,462.446043165464,1180.14705882353,828.264984227129,720,360,10000,662.711864406782,4122.80701754384,480,720,750.186335403729,1200,1740.25974025973,1680,960,960,2824.89795918365,599.999999999998,2912.67015706807
"38",480,1920,960,10000,720,480,960,360,1072,915.75,5083.37349397592,993.583617747443,3789.3333333333,480,502.281167108756,480,806.238532110089,480,1200,10000,974.644067796608,1377.50943396227,1084.22535211268,480,1218.52941176471,960,837.046153846159,411.981566820278,10000,720,4506.66666666664,480,720,883.975155279506,1308.35820895522,1920,1747.3417721519,993.583617747443,960,2916.12244897959,719.999999999998,3221.78010471205
"39",535.3125,2107.79203539824,990.897009966777,10000,720,512.642487046635,960,424.054054054055,1200,960,5654.93975903616,1067.09897610922,4147.99999999997,480,616.551724137934,523.948051948051,937.981651376144,480,1309.52727272728,10000,1047.66101694915,1440,1200,480,1376.91176470588,960,960,480,10000,720,5010.52631578945,480,720,960,1440,1920,1920,1067.09897610922,960,3224.08163265304,720,3432.87958115185
"40",647.5,2289.55752212391,1062.4584717608,10000,720,624.248704663215,970.418006430867,480,1246.31578947368,960,6242.8915662651,1200,4506.66666666663,480,720,635.844155844155,960,480,1440,10000,1161.35593220339,1470.18867924529,1267.60563380283,480,1440,960,960,480,10000,720,5592.514619883,522.531645569618,737.535816618911,960,1440,2124.40779220779,1920,1200,1015.68627450981,3423.67346938773,720,3643.97905759164
"41",720,2415.3982300885,1188.03986710963,10000,747.563025210088,720,1039.67845659164,480,1397.47368421053,960,7040.96385542173,1228.25938566554,4985.3333333333,480,720,720,960,480,1440,10000,1200,1643.47169811321,1419.2957746479,480,1458.23529411765,985.930599369085,960,480,10000,789.491525423732,6036.49122807011,631.594936708858,860.974212034384,960,1587.46268656717,2332.46753246752,2121.89367088607,1228.25938566554,1092.1568627451,3623.26530612242,720,3975.07853403143
"42",720,2606.01769911505,1211.16279069767,10000,868.235294117651,720,1137.87781350482,480,1440,1027.125,8306.75662650607,1375.29010238909,5525.33333333329,480,720,720,966.605504587155,530.434782608694,1572.65454545455,10000,1333.42372881356,1680,1440,498.992805755392,1634.70588235294,1053.88012618297,983.630769230773,480,10000,911.18644067797,6804.21052631572,720,960,1009.56521739131,1680,2432.72727272727,2308.86075949367,1375.29010238909,1200,3951.42857142856,839.999999999998,4313.08900523561
"43",720,2880,1354.28571428571,10000,960,720,1200,480,1466.38596491228,1108.875,9994.69879518079,1440,5942.66666666663,549.668246445499,720,720,1032.47706422018,634.492753623186,1680,10000,1440,1830.33962264152,1496.90140845072,602.302158273377,1680,1163.65930599369,1049.9076923077,480,10000,960,7999.13918128647,720,960,1076.45962732919,1752.08955223881,2619.22077922077,2416.20253164557,1440,1253.72549019608,4291.2244897959,959.999999999997,4757.27748691101
"44",736.25,2933.62831858408,1440,10000,960,720,1294.91961414791,480,1633.9649122807,1200,10000,1440,6661.33333333329,651.753554502371,827.904509283823,723.42857142857,1116.69724770642,720,1732.8,10000,1440,1920,1649.57746478874,705.611510791363,1808.82352941176,1200,1152.36923076924,527.557603686639,10000,960,9449.35672514605,720,960,1200,1912.83582089553,2880,2597.9746835443,1440,1394.50980392157,4702.0408163265,960,5208.37696335081
"45",848.4375,3235.7522123894,1440,10000,960,822.279792746118,1433.44051446945,526.216216216218,1680,1258.125,10000,1610.92150170649,7685.3999999999,720,942.175066313001,835.324675324674,1200,720,1889.45454545455,10000,1562.03389830508,1920,1680,720,1920,1315.45741324921,1200,626.820276497699,10000,960,10000,720,977.363896848137,1220.49689440994,1920,2936.10389610389,2880,1610.92150170649,1440,5141.63265306119,960,5692.98429319373
"46",960,3376.9911504425,1578.20598006644,10000,975.462184873952,933.886010362698,1440,623.243243243245,1793.26315789474,1392.75,10000,1680,8935.99999999988,720,960,947.220779220778,1260.18348623853,720,1920,10000,1678.37288135593,2130.90339622642,1817.74647887325,720,1920,1440,1297.47692307693,720,10000,998.98305084746,10000,816.911392405059,1039.08309455587,1354.28571428572,2042.27014925374,3237.40259740258,2920.75949367089,1680,1440,5640.81632653059,960,6221.15183246078
"47",960,3600,1680,10000,1035.79831932773,960,1480.64308681671,720,1920,1440,10000,1750.44368600683,10000,720,960,960,1391.92660550458,720,1990.34618181819,10000,1703.59322033898,2321.20754716983,1920,720,2118.80955882353,1440,1430.03076923078,720,10000,1059.83050847458,10000,925.9746835443,1121.60458452722,1440,2158.25149253731,3370.38961038959,3166.58227848101,1750.44368600683,1611.24183006536,6041.63265306116,1020,6883.35078534037
"48",960,3869.73451327435,1709.90033222591,10000,1112.26890756303,960,1632.66881028939,720,1920,1440,10000,1897.47440273039,10000,720,960,960,1440,794.78260869565,2145.59345454546,10000,1849.62711864406,2403.16981132076,1920,758.848920863305,2244.70588235294,1497.53943217666,1440,720,10000,1161.3559322034,10000,960,1200,1440,2400,3600,3360,1897.47440273039,1680,6700.40816326527,1080,7968.75811518332
"49",960,4160.70796460179,1853.02325581395,10000,1200,960,1680,720,2062.68210526315,1595.5,10000,1920,10000,802.180094786732,999.628647214856,960,1440,898.840579710142,2392.14545454546,10000,1920,2565.73584905661,2105.58380281692,862.15827338129,2400,1639.3690851735,1460.18461538463,720,10000,1200,10000,960,1248.48137535817,1540.8695652174,2476.56716417911,3858.18181818181,3600,1920,1738.43137254903,7685.39999999991,1200,9207.53926701581
"50",1004.6875,4421.94690265489,1920,10000,1233.61344537816,990.15544041451,1766.04501607717,720,2159.25263157895,1680,10000,1971.87645051196,10000,904.265402843604,1056.76392572945,997.402597402596,1582.874617737,960,2432.72727272728,10000,1920,2816.60377358492,2209.01408450706,960,2519.11764705882,1680,1618.46153846154,763.133640552999,10000,1284.74576271187,10000,960,1371.91977077364,1659.62732919255,2637.31343283582,4129.35064935063,3777.21518987341,1971.87645051196,1879.21568627452,8818.77551020397,1200,10000
