"","ISO_Code","country","IPAP","S1_DA_drf","S1_DA_lin","S1_NMB_drf","S1_NMB_lin","S1_NMB_relative"
"1","AND","Andorra",38.4,53.8007672900298,28.529558197745,1348.86701258932,715.279388660631,88.5790411373505
"2","ARM","Armenia",22.6,31.607232248381,31.3212854166666,146.048397387524,144.727115087899,0.912947306952534
"3","AUT","Austria",30.1,40.1288129315026,17.0698504166667,1506.82439535608,640.96755308504,135.08590849936
"4","BLR","Belarus",14.1,18.0430449258044,48.3574116666666,140.228889226818,375.829365375162,-62.6881499568727
"5","BEL","Belgium",35.7,48.8437733146323,18.90758375,1741.61216300307,674.183741290403,158.329006817872
"6","BIH","Bosnia and Herzegovina",25.5,36.4860473194811,25.04676625,176.914351124904,121.447312724663,45.6716885337689
"7","BGR","Bulgaria",38.6,53.8333318733598,32.4867216666666,380.681148149831,229.729092986174,65.7087237848198
"8","HRV","Croatia",31.1,44.533135290639,24.79967875,526.482600166459,293.188415016838,79.5714200154266
"9","CYP","Cyprus",44.4,61.4073123491752,12.990175,1316.96852110333,278.593068222001,372.721209292217
"10","CZE","Czech Republic",31.1,45.4103142124447,23.6071183333333,785.340603376846,408.269109725908,92.358565629441
"11","DNK","Denmark",28.5,40.1660423170457,18.8947825,1825.52350132581,858.756987654505,112.577426160083
"12","EST","Estonia",32,44.0554290179957,29.1106704166666,660.785062084796,436.629414067212,51.3377341965054
"13","FIN","Finland",16.6,22.6941402919294,18.1162941666666,821.451786930975,655.749106348295,25.2692194283629
"14","FRA","France",29.3,38.9519808234435,17.1493941666666,1251.07756009458,550.812096267528,127.133276224735
"15","GEO","Georgia",18,23.761447139291,31.88354125,101.100895629579,135.659017623024,-25.4742534620711
"16","DEU","Germany",42.2,57.6938238413067,17.4734770833333,2036.34670496014,616.739455174868,230.179411723021
"17","GRC","Greece",37.7,53.4271787864084,16.2704758333333,986.373871966572,300.385919882153,228.368877061064
"18","HUN","Hungary",38.5,53.6909223329697,32.9472229166666,670.663081535171,411.549757187709,62.9603880993859
"19","IRL","Ireland",32.7,46.9831820232378,17.0132691666666,2386.32266377037,864.120905586216,176.156108288053
"20","ITA","Italy",41.4,56.9353317651558,14.2892566666667,1576.01163828694,395.537078839295,298.448520404648
"21","KAZ","Kazakhstan",27.5,40.9234516307628,47.1897341666666,287.561608236823,331.593629287957,-13.2789104379616
"22","KGZ","Kyrgyzstan",13.9,18.4096866690159,41.0399916666666,26.3635434873464,58.7712123773118,-55.142079904542
"23","LVA","Latvia",29.5,40.4240244817045,35.9367616666666,523.910606437645,465.753987624603,12.4865530641289
"24","LTU","Lithuania",26.5,37.073529929046,36.6437683333333,498.591486353829,492.811743416098,1.17280949874834
"25","LUX","Luxembourg",28.4,37.6441641759229,15.3242604166667,2616.83248561132,1065.26531679376,145.650773038163
"26","MLT","Malta",41.7,56.2490484633927,15.7588245833333,1126.51839638498,315.60721973959,256.936827146882
"27","MDA","Moldova",11.5,13.9944548840012,45.4524583333333,30.5327176580718,99.1669263762099,-69.210785517099
"28","NLD","Netherlands",27.2,38.9951189894848,15.9809283333333,1522.23607892293,623.840786079958,144.010348936664
"29","NOR","Norway",31.7,43.7910658994337,15.1606216666666,2316.33394711111,801.922992841844,188.847428966031
"30","POL","Poland",32.5,46.734090437585,28.2920275,564.447435604562,341.706925734574,65.1846635508361
"31","PRT","Portugal",43.4,59.9789240373592,17.5658175,1096.7292428869,321.195253777224,241.452505910182
"32","ROU","Romania",35.4,51.0193471643837,31.9758129166666,389.244360168141,243.954608033339,59.55605975475
"33","RUS","Russia",17.1,22.827817593433,48.2233995833333,177.415703267546,374.787835762723,-52.6623635192186
"34","SRB","Serbia",39.5,55.5445174496559,30.9555079166666,325.681296135146,181.505401499968,79.4333906559821
"35","SVK","Slovakia",34.9,48.8266825673331,29.82698125,836.627728768494,511.074647449081,63.6997125457782
"36","SVN","Slovenia",32.2,43.4479543836722,20.15556125,847.267845039399,393.048629977956,115.563108587077
"37","ESP","Spain",26.8,36.144506449523,14.5075883333333,906.197715977901,363.727290905857,149.142073920555
"38","SWE","Sweden",23.1,30.1787922514984,14.4098533333333,1204.41910091694,575.089369098811,109.431640651664
"39","CHE","Switzerland",23.7,33.8951442779969,13.7013020833333,2188.6132107658,884.694589240686,147.386300016171
"40","TJK","Tajikistan",29.3,40.547476890947,7.58981825431958,58.0659078851012,10.8689793154152,434.235149410465
"41","TUR","Turkey",30.6,43.8187038133705,22.8946208333333,504.554359227263,263.62214623037,91.3930094425189
"42","GBR","UK",35.9,49.0498734428202,17.8454970833333,1979.88417456798,720.328408263455,174.858543944007
"43","UKR","Ukraine",19.6,29.4723180770144,43.8734220833333,55.0835809364606,81.9991556134699,-32.8242095612359
"44","UZB","Uzbekistan",19.1,26.2112113668615,46.5070512499999,37.5356964596954,66.6003007080599,-43.64034987735
