"","ISO3 Code","Country","DRF","Lin","DRF","Lin"
"1","AND","Andorra",34.59,28.53,867.19,715.28
"2","ARM","Armenia",23.08,31.32,106.66,144.73
"3","AUT","Austria",16.42,17.07,616.56,640.97
"4","BLR","Belarus",23.23,48.36,180.53,375.83
"5","BEL","Belgium",21.39,18.91,762.66,674.18
"6","BIH","Bosnia and Herzegovina",20.65,25.05,100.13,121.45
"7","BGR","Bulgaria",39.58,32.49,279.87,229.73
"8","HRV","Croatia",24.62,24.8,291.12,293.19
"9","CYP","Cyprus",17.95,12.99,384.91,278.59
"10","CZE","Czech Republic",23.44,23.61,405.38,408.27
"11","DNK","Denmark",17.27,18.89,784.8,858.76
"12","EST","Estonia",29.68,29.11,445.1,436.63
"13","FIN","Finland",10.07,18.12,364.45,655.75
"14","FRA","France",16.1,17.15,517.06,550.81
"15","GEO","Georgia",19.05,31.88,81.07,135.66
"16","DEU","Germany",23.1,17.47,815.34,616.74
"17","GRC","Greece",19.4,16.27,358.19,300.39
"18","HUN","Hungary",40.04,32.95,500.17,411.55
"19","IRL","Ireland",17.72,17.01,899.91,864.12
"20","ITA","Italy",18.58,14.29,514.31,395.54
"21","KAZ","Kazakhstan",41.74,47.19,293.3,331.59
"22","KGZ","Kyrgyzstan",19.54,41.04,27.98,58.77
"23","LVA","Latvia",33.94,35.94,439.94,465.75
"24","LTU","Lithuania",31.27,36.64,420.58,492.81
"25","LUX","Luxembourg",13.96,15.32,970.37,1065.27
"26","MLT","Malta",20.62,15.76,412.92,315.61
"27","MDA","Moldova",18.21,45.45,39.72,99.17
"28","NLD","Netherlands",13.99,15.98,546.12,623.84
"29","NOR","Norway",15.31,15.16,810.07,801.92
"30","POL","Poland",29.31,28.29,353.97,341.71
"31","PRT","Portugal",23.8,17.57,435.19,321.2
"32","ROU","Romania",35.87,31.98,273.66,243.95
"33","RUS","Russia",27.58,48.22,214.39,374.79
"34","SRB","Serbia",38.58,30.96,226.2,181.51
"35","SVK","Slovakia",33.02,29.83,565.77,511.07
"36","SVN","Slovenia",20.67,20.16,403.1,393.05
"37","ESP","Spain",12.52,14.51,313.82,363.73
"38","SWE","Sweden",10.82,14.41,431.9,575.09
"39","CHE","Switzerland",10.54,13.7,680.7,884.69
"40","TJK","Tajikistan",7.12,7.59,10.2,10.87
"41","TUR","Turkey",22.39,22.89,257.76,263.62
"42","GBR","UK",20.32,17.85,820.17,720.33
"43","UKR","Ukraine",28.36,43.87,53,82
"44","UZB","Uzbekistan",29.35,46.51,42.03,66.6
